restaurant,item,item_clean,calories,balance_score
McDonald's,Artisan Grilled Chicken Sandwich,artisan grilled chicken sandwich,380,36.1
McDonald's,Single Bacon Smokehouse Burger,single bacon smokehouse burger,840,4.2
McDonald's,Double Bacon Smokehouse Burger,double bacon smokehouse burger,1130,9.1
McDonald's,Grilled Bacon Smokehouse Chicken Sandwich,grilled bacon smokehouse chicken sandwich,750,19.1
McDonald's,Crispy Bacon Smokehouse Chicken Sandwich,crispy bacon smokehouse chicken sandwich,920,0.8
McDonald's,Big Mac,big mac,540,-2.2
McDonald's,Cheeseburger,cheeseburger,300,0
McDonald's,Classic Chicken Sandwich,classic chicken sandwich,510,-1.2
McDonald's,Double Cheeseburger,double cheeseburger,430,6.7
McDonald's,Double Quarter Pounder® with Cheese,double quarter pounder with cheese,770,12.1
McDonald's,Filet-O-Fish®,filetofish,380,-6.8
McDonald's,Garlic White Cheddar Burger,garlic white cheddar burger,620,0.3
McDonald's,Grilled Garlic White Cheddar Chicken Sandwich,grilled garlic white cheddar chicken sandwich,530,21.5
McDonald's,Crispy Garlic White Cheddar Chicken Sandwich,crispy garlic white cheddar chicken sandwich,700,-3.1
McDonald's,Hamburger,hamburger,250,2.4
McDonald's,Lobster Roll,lobster roll,290,29.3
McDonald's,Maple Bacon Dijon 1/4 lb Burger,maple bacon dijon 14 lb burger,640,7.5
McDonald's,Grilled Maple Bacon Dijon Chicken Sandwich,grilled maple bacon dijon chicken sandwich,580,26
McDonald's,Crispy Maple Bacon Dijon Chicken Sandwich,crispy maple bacon dijon chicken sandwich,740,1.2
McDonald's,McChicken,mcchicken,350,-7.1
McDonald's,McDouble,mcdouble,380,5.8
McDonald's,McRib,mcrib,480,2.1
McDonald's,Pico Guacamole 1/4 lb Burger,pico guacamole 14 lb burger,580,0.5
McDonald's,Grilled Pico Guacamole Chicken Sandwich,grilled pico guacamole chicken sandwich,520,21.2
McDonald's,Crispy Pico Guacamole Chicken Sandwich,crispy pico guacamole chicken sandwich,680,-4.7
McDonald's,Premium Buttermilk Crispy Chicken Deluxe Sandwich,premium buttermilk crispy chicken deluxe sandwich,570,-1.6
McDonald's,Premium Crispy Chicken Deluxe Sandwich,premium crispy chicken deluxe sandwich,530,-3
McDonald's,Quarter Pounder® with Cheese,quarter pounder with cheese,530,6.6
McDonald's,Signature Sriracha Burger,signature sriracha burger,670,-1.3
McDonald's,Grilled Signature Sriracha Chicken Sandwich,grilled signature sriracha chicken sandwich,560,17.1
McDonald's,Crispy Signature Sriracha Chicken Sandwich,crispy signature sriracha chicken sandwich,730,-4.2
McDonald's,Sweet BBQ Bacon 1/4 lb Burger,sweet bbq bacon 14 lb burger,690,4.2
McDonald's,Grilled Sweet BBQ Bacon Chicken Sandwich,grilled sweet bbq bacon chicken sandwich,630,20.3
McDonald's,Crispy Sweet BBQ Bacon Chicken Sandwich,crispy sweet bbq bacon chicken sandwich,800,-1
McDonald's,3 piece Buttermilk Crispy Chicken Tenders,3 piece buttermilk crispy chicken tenders,370,21.9
McDonald's,4 piece Buttermilk Crispy Chicken Tenders,4 piece buttermilk crispy chicken tenders,480,21.7
McDonald's,6 piece Buttermilk Crispy Chicken Tenders,6 piece buttermilk crispy chicken tenders,760,21.6
McDonald's,10 piece Buttermilk Crispy Chicken Tenders,10 piece buttermilk crispy chicken tenders,1210,21.8
McDonald's,12 piece Buttermilk Crispy Chicken Tenders,12 piece buttermilk crispy chicken tenders,1510,21.1
McDonald's,20 piece Buttermilk Crispy Chicken Tenders,20 piece buttermilk crispy chicken tenders,2430,21.4
McDonald's,4 Piece Chicken McNuggets,4 piece chicken mcnuggets,180,2.8
McDonald's,6 Piece Chicken McNuggets,6 piece chicken mcnuggets,270,5.2
McDonald's,10 Piece Chicken McNuggets,10 piece chicken mcnuggets,440,3
McDonald's,20 Piece Chicken McNuggets,20 piece chicken mcnuggets,890,4.6
McDonald's,40 piece Chicken McNuggets,40 piece chicken mcnuggets,1770,4
