item,n
and,1
bean,4
beef,9
beefy,5
bellgrande,2
black,1
blt,1
bowl,3
burrito,34
cantina,6
chalupa,7
cheddar,1
cheese,8
cheesy,13
chicken,22
chickstar,1
chili,2
chipotle,1
chips,2
combo,1
cool,5
core,6
crispy,2
crunch,6
crunchwrap,6
crunchy,6
decker,5
doritos,12
double,14
express,2
fiery,4
fiesta,3
fresco,7
fries,1
fritos,1
gordita,8
grilled,5
griller,3
habanero,1
layer,3
lb,2
loaded,2
locos,6
melt,2
mexican,1
meximelt,1
mild,1
mini,2
nacho,7
nachos,4
naked,2
original,1
pizza,1
potato,3
power,6
quesadilla,6
quesalupa,3
quesarito,3
ranch,5
rice,1
rollup,1
salad,2
saladbeef,1
saladchicken,1
saladsteak,1
shredded,3
slider,3
smothered,3
soft,8
spicy,9
stacked,3
stacker,1
steak,15
stuft,3
supreme,18
supremebeef,1
sweet,1
taco,28
tacobeef,1
tacos,2
tostada,2
triple,5
veggie,2
wild,1
xxl,3
